nome,endereco,latitude,longitude,cidade
Paço Alfândega - Office e Mall,"R. Alfândega, 35 - Recife",-8.0648441,-34.8738319,Jaboatão dos Guararapes
Boulevard Mall,"Estr. de Aldeia, 9036 - Vera Cruz, Camaragibe",-7.961923899999999,-35.00836880000001,Jaboatão dos Guararapes
Camará Shopping,"R. Manoel Hónorato da Costa, 555 - Vila da Fabrica, Camaragibe",-8.0163327,-34.9775849,Jaboatão dos Guararapes
Shopping Patteo Olinda,"R. Carmelita Muniz de Araújo, 225 - Casa Caiada, Olinda",-7.993477899999999,-34.8402871,Jaboatão dos Guararapes
Market place shopping,"Av. Bernardo Vieira de Melo, 1650 - Piedade, Jaboatão dos Guararapes",-8.1681314,-34.9154268,Jaboatão dos Guararapes
Shopping Yapoatan Center,"R. Bernardo Viêira de Melo, 14 - Centro, Jaboatão dos Guararapes",-8.113004,-35.0201318,Recife
Shopping ETC,"Av. Conselheiro Rosa e Silva, 1460 - Aflitos, Recife",-8.0389413,-34.8997768,Recife
Shopping Costa Dourada,"PE-060, 3200 - Garapu, Cabo de Santo Agostinho",-8.305774399999999,-35.0221654,Jaboatão dos Guararapes
Vitória Park Shopping,"Av. Henrique de Holanda, 3000 - Redenção, Vitória de Santo Antão",-8.1160142,-35.2707964,Jaboatão dos Guararapes
Espinheiro Shopping,"R. Amélia, 114 - Graças, Recife",-8.0454657,-34.8962296,Recife
Bourbon Shopping Ipiranga,"Av. Ipiranga, 5200 - Jardim Botânico, Porto Alegre",-30.0549758,-51.1867176,Porto Alegre
Shopping Iguatemi Porto Alegre,"Av. João Wallig, 1800 - Passo d'Areia, Porto Alegre",-30.0251223,-51.1624198,Porto Alegre
Barra Shopping Sul,"Av. Diário de Notícias, 300 - Cristal, Porto Alegre",-30.0846697,-51.2458384,Porto Alegre
Bourbon Shopping Wallig,"Av. Assis Brasil, 2611 - Cristo Redentor, Porto Alegre",-30.0111521,-51.1608281,Porto Alegre
Praia de Belas Shopping,"Av. Praia de Belas, 1181 - Praia de Belas, Porto Alegre",-30.0495351,-51.2287325,Porto Alegre
